%_Annual_J-D__________________ L-OTI(^S^o^N^C) Change 1957-2017                  
%   i   j     lon     lat    array(i,j)
  38   4 -105.00  -83.00        0.4377
  39   4 -103.00  -83.00        0.4377
  40   4 -101.00  -83.00        0.4377
  41   4  -99.00  -83.00        0.4377
  42   4  -97.00  -83.00        0.4377
  43   4  -95.00  -83.00        0.4377
  44   4  -93.00  -83.00        0.4377
  45   4  -91.00  -83.00        0.4377
  46   4  -89.00  -83.00        0.4377
  47   4  -87.00  -83.00        0.4377
  48   4  -85.00  -83.00        0.4377
  49   4  -83.00  -83.00        0.4377
  50   4  -81.00  -83.00        0.4377
  51   4  -79.00  -83.00        0.4377
  52   4  -77.00  -83.00        0.4377
  53   4  -75.00  -83.00        0.4377
  54   4  -73.00  -83.00        0.4377
  55   4  -71.00  -83.00        0.4377
  56   4  -69.00  -83.00        0.4377
  57   4  -67.00  -83.00        0.4377
  58   4  -65.00  -83.00        0.4377
  59   4  -63.00  -83.00        0.4377
  60   4  -61.00  -83.00        0.4377
  61   4  -59.00  -83.00        0.4377
  62   4  -57.00  -83.00        0.4377
  63   4  -55.00  -83.00        0.4377
  64   4  -53.00  -83.00        0.4377
  65   4  -51.00  -83.00        0.4377
  66   4  -49.00  -83.00        0.4377
  67   4  -47.00  -83.00        0.4377
  68   4  -45.00  -83.00        0.4377
  69   4  -43.00  -83.00        0.4377
  70   4  -41.00  -83.00        0.4377
  71   4  -39.00  -83.00        0.4377
  72   4  -37.00  -83.00        0.4377
  73   4  -35.00  -83.00        0.4377
  74   4  -33.00  -83.00        0.4377
  75   4  -31.00  -83.00        0.4377
  76   4  -29.00  -83.00        0.4377
  77   4  -27.00  -83.00        0.4377
  78   4  -25.00  -83.00        0.4377
  79   4  -23.00  -83.00        0.4377
  80   4  -21.00  -83.00        0.4377
  81   4  -19.00  -83.00        0.4377
  82   4  -17.00  -83.00        0.4377
  83   4  -15.00  -83.00        0.4377
  84   4  -13.00  -83.00        0.4377
  85   4  -11.00  -83.00        0.4377
  86   4   -9.00  -83.00        0.4377
  87   4   -7.00  -83.00        0.4377
  88   4   -5.00  -83.00        0.4377
  89   4   -3.00  -83.00        0.4377
  90   4   -1.00  -83.00        0.4377
  91   4    1.00  -83.00        0.4377
  92   4    3.00  -83.00        0.4377
  93   4    5.00  -83.00        0.4377
  94   4    7.00  -83.00        0.4377
  95   4    9.00  -83.00        0.4377
  96   4   11.00  -83.00        0.4377
  97   4   13.00  -83.00        0.4377
  98   4   15.00  -83.00        0.4377
  99   4   17.00  -83.00        0.4377
 100   4   19.00  -83.00        0.4377
 101   4   21.00  -83.00        0.4377
 102   4   23.00  -83.00        0.4377
 103   4   25.00  -83.00        0.4377
 104   4   27.00  -83.00        0.4377
 105   4   29.00  -83.00        0.4377
 106   4   31.00  -83.00        0.4377
 107   4   33.00  -83.00        0.4377
 108   4   35.00  -83.00        0.4377
 109   4   37.00  -83.00        0.4377
 110   4   39.00  -83.00        0.4377
 111   4   41.00  -83.00        0.4377
 112   4   43.00  -83.00        0.4377
 113   4   45.00  -83.00        0.4377
 114   4   47.00  -83.00        0.4377
 115   4   49.00  -83.00        0.4377
 116   4   51.00  -83.00        0.4377
 117   4   53.00  -83.00        0.4377
 118   4   55.00  -83.00        0.4377
 119   4   57.00  -83.00        0.4377
 120   4   59.00  -83.00        0.4377
 121   4   61.00  -83.00        0.4377
 122   4   63.00  -83.00        0.4377
 123   4   65.00  -83.00        0.4377
 124   4   67.00  -83.00        0.4377
 125   4   69.00  -83.00        0.4377
 126   4   71.00  -83.00        0.4377
 127   4   73.00  -83.00        0.4377
 128   4   75.00  -83.00        0.4377
 129   4   77.00  -83.00        0.4377
 130   4   79.00  -83.00        0.4377
 131   4   81.00  -83.00        0.4377
 132   4   83.00  -83.00        0.4377
 133   4   85.00  -83.00        0.4377
 134   4   87.00  -83.00        0.4377
 135   4   89.00  -83.00        0.4377
 136   4   91.00  -83.00        0.4377
 137   4   93.00  -83.00        0.4377
 138   4   95.00  -83.00        0.4377
 139   4   97.00  -83.00        0.4377
 140   4   99.00  -83.00        0.4377
 141   4  101.00  -83.00        0.4377
 142   4  103.00  -83.00        0.4377
 143   4  105.00  -83.00        0.4377
 144   4  107.00  -83.00        0.4377
 145   4  109.00  -83.00        0.4377
 146   4  111.00  -83.00        0.4377
 147   4  113.00  -83.00        0.4377
 148   4  115.00  -83.00        0.4377
 149   4  117.00  -83.00        0.4377
 150   4  119.00  -83.00        0.4377
 151   4  121.00  -83.00        0.4377
 152   4  123.00  -83.00        0.4377
 153   4  125.00  -83.00        0.4377
 154   4  127.00  -83.00        0.4377
 155   4  129.00  -83.00        0.4377
 156   4  131.00  -83.00        0.4377
 157   4  133.00  -83.00        0.4377
 158   4  135.00  -83.00        0.4377
 159   4  137.00  -83.00        0.4377
 160   4  139.00  -83.00        0.4377
 161   4  141.00  -83.00        0.4377
 162   4  143.00  -83.00        0.4377
 163   4  145.00  -83.00        0.4377
 164   4  147.00  -83.00        0.4377
 165   4  149.00  -83.00        0.4377
